Names,FaceData
beauty,"[-0.09289722  0.01995538  0.04199311 -0.14506105 -0.14272732  0.00744186
 -0.02711758 -0.00162141  0.2617386  -0.18333581  0.21890762  0.06009864
 -0.22754937 -0.03034675  0.01445953  0.18295446 -0.19140756 -0.1323631
 -0.06732792 -0.0173543   0.06955439  0.06751294  0.05690467 -0.0034649
 -0.10083125 -0.34064698 -0.04756776 -0.09369498  0.01002208 -0.06024175
  0.0533317   0.12753601 -0.15615454 -0.07205746  0.04129967  0.14001165
 -0.08785924 -0.13368616  0.22488353 -0.05164669 -0.2596539  -0.06299874
  0.09339568  0.21956603  0.2170884   0.00491503  0.00425883 -0.10227295
  0.1527912  -0.38723999  0.07629092  0.05599445  0.04019174  0.09926627
  0.08659999 -0.19707093  0.10214052  0.10566381 -0.2479468   0.00176615
  0.0534438  -0.14610285  0.02441836 -0.04655619  0.29338193  0.09672781
 -0.14170609 -0.12686782  0.223653   -0.13419501 -0.02572406  0.15575926
 -0.12987581 -0.17480986 -0.28352457 -0.02583742  0.39653465  0.12074669
 -0.07060269  0.00730698 -0.09445629 -0.04316246  0.00223228  0.15151055
  0.04397587 -0.11281851 -0.08958034  0.02266449  0.25169033 -0.07298858
 -0.04575513  0.28032684  0.07426043  0.00977997  0.00377356  0.12099767
 -0.0775737  -0.01118462 -0.17699821  0.02440739 -0.01078473 -0.06537689
 -0.0349163   0.16818324 -0.16395226  0.13424858 -0.05172809 -0.02326314
  0.02725683 -0.08299657 -0.05304284 -0.07835509  0.11624557 -0.2466047
  0.1618098   0.1649607   0.08843169  0.20721939  0.02531651  0.08812855
  0.01600416 -0.11508357 -0.25749135 -0.03558914  0.01608192  0.0221038
  0.00045452  0.09459297]"
cute,"[-0.07717312  0.08055539  0.00625292 -0.11790657 -0.19903721 -0.02042595
 -0.01073814 -0.06601602  0.23406614 -0.18563706  0.23285571 -0.0091855
 -0.15977268  0.01483285 -0.03713099  0.15727678 -0.17077304 -0.1300483
 -0.0132255  -0.0074374   0.1022838   0.06191153  0.00105646  0.07517537
 -0.1035601  -0.38676149 -0.07255039 -0.06232944  0.01395442 -0.10861824
  0.06165257  0.12919769 -0.19131109 -0.00937423 -0.03049669  0.13769558
 -0.06941323 -0.08745664  0.1908408   0.02351073 -0.3289718  -0.02475458
  0.01126536  0.27614045  0.11735467  0.01506535  0.00059304 -0.10955573
  0.08357956 -0.22644408  0.06951313  0.12683554 -0.00120909  0.03993476
  0.02778144 -0.1168379   0.06328242  0.05455532 -0.18498218 -0.05338719
  0.10216289 -0.08547553  0.03476316 -0.0975593   0.26263502  0.10023566
 -0.07134591 -0.09333867  0.16566597 -0.18178554 -0.10221758  0.10223132
 -0.1123966  -0.2023721  -0.24692222  0.02677316  0.42009273  0.14010914
 -0.111155    0.02485965 -0.01872713 -0.03484677  0.17104268  0.20013602
  0.04357713  0.00185764 -0.07384975  0.07390839  0.24645193 -0.07402638
 -0.04539085  0.25753978  0.03453513  0.03437149  0.02043819  0.05420642
 -0.04269058  0.08315861 -0.12232146  0.0466303   0.05823249 -0.01914977
 -0.07108577  0.14587961 -0.16959563  0.14672093  0.00251247 -0.03393243
  0.04281958 -0.00188677 -0.08329147 -0.12568925  0.1238673  -0.21943265
  0.19690172  0.15659389  0.00212572  0.18742724  0.06179461  0.10910007
  0.0145279  -0.13316301 -0.25523007 -0.01108631  0.10947353 -0.01906184
  0.02518232  0.00491016]"
fat,"[-1.15693405e-01  7.36035258e-02  3.55436280e-02 -1.00828953e-01
 -8.92163590e-02 -7.30113089e-02 -2.74726748e-02 -8.65253508e-02
  2.17473432e-01 -8.19896460e-02  1.58281609e-01  9.52461176e-03
 -1.94090635e-01  4.13219929e-02  3.11471876e-02  1.20973632e-01
 -2.00437948e-01 -1.07222117e-01 -6.17019162e-02 -3.75573896e-02
  4.27890122e-02 -2.93561746e-03  7.22283050e-02  6.84178397e-02
 -1.02181770e-01 -3.45861375e-01 -7.02700615e-02 -8.06928128e-02
  9.25267860e-02 -3.71234491e-02  5.67617714e-02  3.58809233e-02
 -2.51980841e-01 -4.98602316e-02  4.27002832e-02  5.51920533e-02
 -8.51100907e-02 -1.11809649e-01  2.96211839e-01  3.77002545e-02
 -2.19132274e-01 -1.11109331e-01  1.17656868e-03  2.14389309e-01
  1.56515643e-01  3.83838490e-02  5.06063066e-02 -1.10996410e-01
  1.40490040e-01 -2.98655450e-01  9.02595557e-03  1.75116271e-01
 -1.79497618e-02  4.67622876e-02  4.77330089e-02 -1.45893067e-01
  1.14662990e-01  1.05316646e-01 -3.15232009e-01 -1.16838692e-02
  7.12049901e-02 -3.71897072e-02 -3.48070860e-02 -1.65108182e-02
  2.93320775e-01  1.19089849e-01 -1.38481051e-01 -1.17924266e-01
  1.34944111e-01 -1.56593904e-01 -2.69471062e-03  1.11317039e-01
 -9.52989832e-02 -2.33291328e-01 -3.14044654e-01 -3.73495743e-03
  4.33538169e-01  1.34293631e-01 -1.04880720e-01  3.60901579e-02
 -1.15454048e-01 -5.30518889e-02  1.27055421e-01  1.07856967e-01
 -8.23453665e-02  1.94036290e-02 -4.00631763e-02  3.05991061e-02
  1.96527705e-01 -1.29300170e-02 -7.64068961e-02  1.91864282e-01
  3.57962102e-02  2.00214367e-02  2.49638688e-04  9.73131135e-02
 -1.06303334e-01 -5.76330945e-02 -1.74135551e-01 -1.90372281e-02
  1.60538815e-02  4.87959832e-02 -2.02424033e-03  1.53659120e-01
 -2.03691483e-01  1.25179455e-01 -1.88337453e-03 -1.34105295e-01
 -6.39624894e-02 -5.07650375e-02 -1.33629084e-01 -1.04519330e-01
  6.98895678e-02 -2.98292994e-01  1.65019631e-01  1.95740566e-01
 -1.60629470e-02  1.68572024e-01  3.61269638e-02  1.30319344e-02
  5.85882924e-04 -1.30120786e-02 -1.25977010e-01 -6.48171678e-02
  8.29764158e-02  5.31485379e-02  6.54535219e-02 -5.10970429e-02]"
handsome,"[-1.03842005e-01  1.10607862e-01  6.40500262e-02 -6.92644417e-02
 -1.84318900e-01  1.16716020e-01 -8.49681348e-02 -1.02880253e-02
  2.28835493e-01 -1.81799024e-01  1.95697561e-01 -7.48325977e-03
 -2.24678069e-01 -3.00217755e-02 -3.01494561e-02  1.80340856e-01
 -7.17469007e-02 -1.83681548e-01 -7.17456117e-02 -6.19119704e-02
  2.78599318e-02  4.95599806e-02 -1.05912483e-03  6.31326810e-02
 -1.14458218e-01 -3.57710749e-01 -9.56228375e-02 -1.35687083e-01
  3.79818939e-02 -1.28280982e-01 -4.26892638e-02  3.39694647e-03
 -1.53086439e-01 -5.29614389e-02  3.61876339e-02  1.16542056e-01
 -1.06186979e-01 -4.68043201e-02  1.72167510e-01  3.15715373e-02
 -1.78947181e-01 -3.68361883e-02  4.73554730e-02  2.61745036e-01
  1.34995282e-01  1.19413450e-01  1.99369844e-02 -6.38535246e-02
  1.25033960e-01 -2.09847450e-01  1.38663456e-01  1.62302628e-01
  8.90593082e-02  1.42338321e-01  1.11280151e-01 -1.27280176e-01
  9.96784344e-02  1.76823005e-01 -2.45695442e-01  6.79999813e-02
  5.18886968e-02 -2.71464121e-02 -3.50145623e-04 -6.71677943e-03
  3.01677972e-01  1.40768692e-01 -5.25909401e-02 -1.66459158e-01
  2.27007687e-01 -1.62080005e-01 -4.91385423e-02  1.21328101e-01
 -1.41964480e-01 -1.41399115e-01 -1.84023768e-01  2.26391032e-02
  4.56438661e-01  1.88424185e-01 -9.81450081e-02 -1.42755136e-02
 -3.44584249e-02 -8.21844861e-02  1.51680242e-02  3.51361409e-02
 -1.00830607e-01 -4.65762317e-02 -3.74467038e-02  6.06360845e-03
  2.33111382e-01  2.99790464e-02 -2.00528232e-03  2.11680979e-01
  5.87787256e-02 -5.26769832e-02  7.92722851e-02 -1.32683804e-03
 -8.70555267e-02 -6.00517541e-02 -1.37481332e-01 -1.16233893e-01
 -6.59154207e-02 -1.15557179e-01 -3.98466103e-02  4.90946770e-02
 -2.26459086e-01  1.70520529e-01 -2.91744340e-02 -3.91840339e-02
 -8.63964558e-02  5.86018078e-02 -1.52698562e-01 -1.98992938e-02
  2.17450783e-01 -2.37739205e-01  1.90084025e-01  1.42446086e-01
  1.17151640e-01  1.42620429e-01  7.66891465e-02  9.96697769e-02
 -4.79267538e-03 -1.21530667e-01 -1.37795985e-01 -1.10771261e-01
  7.80815631e-02 -6.15961179e-02  9.43697765e-02  5.87922186e-02]"
kid,"[-9.08998773e-02  2.01238468e-02 -6.30349666e-03 -9.51219052e-02
 -1.35496557e-01  6.49397261e-04  1.87360439e-02 -7.75693879e-02
  1.76978081e-01 -6.47277609e-02  1.07133940e-01 -8.21524337e-02
 -3.40330750e-01 -2.13091709e-02 -8.62930901e-04  2.35855609e-01
 -1.79426342e-01 -1.48108050e-01 -1.18565634e-01 -1.00195721e-01
  3.62484083e-02 -3.89083475e-02  2.26641949e-02  1.45755410e-01
 -2.29258269e-01 -1.99580476e-01 -8.83751959e-02 -1.48072898e-01
 -9.22294930e-02 -8.06588233e-02  1.29899010e-02  1.21039778e-01
 -1.11496240e-01 -1.65634081e-02  8.78803059e-03  1.10451624e-01
 -3.42677608e-02 -8.54164436e-02  2.40838766e-01 -3.12748328e-02
 -2.15802804e-01 -1.56051740e-02  8.40007812e-02  2.11451516e-01
  2.50646323e-01 -4.09169588e-04  5.38117550e-02 -2.59100683e-02
  1.58780351e-01 -3.35128009e-01  2.11891979e-02  1.07092492e-01
 -7.41533935e-04  1.40047252e-01  5.59424609e-02 -2.08950505e-01
  5.86237162e-02  2.70587951e-01 -2.49450102e-01  2.03929469e-02
  1.83012038e-02 -1.41135529e-01  4.47570346e-03 -2.77707614e-02
  2.65440822e-01  1.31361350e-01 -1.62456259e-01 -1.41045585e-01
  1.99456647e-01 -1.88629851e-01 -5.45116998e-02  1.37031585e-01
 -1.34957641e-01 -1.86797485e-01 -3.08143735e-01  1.94144044e-02
  4.09841359e-01  1.74976200e-01 -1.80560589e-01  1.97950825e-02
 -6.62788674e-02 -2.03653350e-02  7.25915506e-02  8.89175832e-02
  2.35487074e-02 -3.84359509e-02 -1.29902437e-01 -3.16589698e-02
  2.07045212e-01 -3.63916457e-02  2.05018949e-02  2.87523210e-01
  1.03492916e-01 -1.44715039e-02  3.32390554e-02  9.36381668e-02
 -1.02919295e-01 -3.41403335e-02 -1.34552956e-01 -6.92783576e-03
 -2.82841697e-02 -3.77437770e-02  1.05767976e-04  2.89526805e-02
 -1.19614504e-01  2.10543156e-01 -2.95748618e-02 -1.09889507e-02
 -2.06696942e-01 -6.52322099e-02 -6.47883713e-02  6.35190383e-02
  2.04969496e-01 -3.22273254e-01  1.03907026e-01  1.60232618e-01
 -1.67465471e-02  1.44150048e-01  1.35048162e-02  9.53389704e-02
 -4.48883586e-02 -7.04522207e-02 -1.78244248e-01 -3.46266665e-02
  1.40087277e-01 -4.11821678e-02  9.97327268e-02  8.77183601e-02]"
little,"[-0.1559065   0.07502329  0.05850691 -0.01919881 -0.08537294 -0.05344924
 -0.0108925  -0.02814444  0.20587522 -0.10484619  0.24000128 -0.07667196
 -0.19125758 -0.11027604  0.03761382  0.17458768 -0.1206582  -0.07549921
 -0.06619297 -0.02153752  0.08654944  0.00861124 -0.00273576  0.10647297
 -0.15245186 -0.41192427 -0.06029097 -0.15101483  0.00685323 -0.11476436
 -0.05194623  0.06742838 -0.19611977 -0.08139151 -0.00454414  0.07437866
  0.00817144 -0.05934627  0.15991747 -0.04174431 -0.23297293 -0.07134165
  0.02386788  0.19814609  0.12699996 -0.02641593  0.02475988 -0.0310875
  0.13528042 -0.19986799 -0.00523361  0.05437652  0.17380118  0.02024943
  0.07684615 -0.14492944  0.03915128  0.10348084 -0.27313688 -0.00246931
 -0.0442558  -0.1030171  -0.01709669  0.0467197   0.28280836  0.10707778
 -0.06324465 -0.12076094  0.21962392 -0.12199669  0.08979025  0.12039615
 -0.10234781 -0.20265804 -0.29281741  0.02169303  0.37436154  0.07305102
 -0.20044015  0.04735989 -0.17512605 -0.02599554  0.02096144  0.04289017
 -0.05584627  0.02299619 -0.10795256  0.04490114  0.20529571 -0.05060051
  0.02057175  0.24892725  0.03234898 -0.00721488  0.03044271 -0.04711796
 -0.09326524 -0.0461173  -0.05259822 -0.02240464  0.05230698 -0.09056268
 -0.00353333  0.10460237 -0.27949023  0.04988192  0.0160111  -0.04603062
  0.01882266  0.04939499 -0.11863701 -0.13017674  0.11714712 -0.2812109
  0.14169008  0.13083361  0.01624854  0.18113236 -0.01671435  0.03393346
 -0.00340607 -0.08325904 -0.11520691  0.01137398  0.14640659 -0.04300139
  0.01510768  0.00389542]"
sir,"[-5.36210947e-02 -1.68927014e-04  3.25743109e-03  3.33205238e-03
 -4.52984534e-02 -6.53431043e-02  6.89574480e-02 -7.52945617e-02
  7.87376612e-02 -7.99735263e-02  2.89461821e-01 -4.60352562e-03
 -3.03291351e-01 -1.00074969e-01 -3.02549563e-02  8.98461118e-02
 -1.25702858e-01  1.88535638e-03 -2.23969847e-01 -1.06522411e-01
  7.46782590e-03 -4.07434143e-02  2.49167886e-02 -3.21418382e-02
 -1.24007076e-01 -1.87582999e-01 -6.49828017e-02 -1.19792029e-01
  1.69175938e-01 -1.15129091e-01  7.58012086e-02  1.19763218e-01
 -1.08561538e-01 -5.20225093e-02  4.07544598e-02  7.74175525e-02
 -4.60118614e-02 -5.45884296e-02  3.00658435e-01 -3.60660814e-02
 -1.33589447e-01  3.33823189e-02  1.51815945e-02  2.27241591e-01
  2.05834076e-01 -2.51003876e-02  6.20002411e-02 -1.00373544e-01
  1.37894109e-01 -2.93825179e-01  3.70761380e-02  1.22633286e-01
  1.05732433e-01  1.18735954e-01  9.20377523e-02 -1.66826144e-01
  2.59126332e-02  1.99591592e-01 -1.59642026e-01  8.50811228e-02
  5.18403575e-02 -2.05431819e-01 -6.39036819e-02 -6.38062730e-02
  8.09587315e-02  9.60997026e-03 -1.09092586e-01 -1.01195723e-01
  2.39009187e-01 -1.90480411e-01 -1.70342736e-02  1.25119984e-01
 -8.83961618e-02 -1.18271269e-01 -2.89620847e-01  7.26874322e-02
  3.72200549e-01  2.27328271e-01 -8.45182240e-02  2.37186551e-02
 -1.00935183e-01 -7.26140589e-02  7.00438744e-04  4.11532819e-02
 -5.75285517e-02 -1.32768750e-01 -3.24283838e-02  4.81467061e-02
  1.71482310e-01 -4.95119318e-02  3.43233161e-02  1.77068323e-01
  3.99619713e-03 -1.20741641e-02 -4.29212674e-02 -6.22035787e-02
 -1.21747851e-01 -8.10067803e-02 -3.35123762e-02 -1.31883863e-02
  5.62290326e-02 -2.10873723e-01  9.28280801e-02  7.10999519e-02
 -1.88068315e-01  1.50653899e-01 -6.71264529e-02 -3.39509547e-02
  7.16810375e-02 -4.99386638e-02 -6.24887273e-03  8.99950862e-02
  2.07610250e-01 -2.42572576e-01  2.93455750e-01  2.24459276e-01
  7.60719776e-02  7.98178092e-02  9.99278501e-02  8.43460038e-02
 -1.22298039e-02 -1.25259869e-02 -1.68105930e-01 -1.13226607e-01
 -2.14080736e-02 -2.29609013e-02  2.31924467e-02 -2.19611581e-02]"
